AREA_NAME,Year,Population,Unemployment_rate,Median_household_income,Crimes_per_month
77th Street,2010,620172.0,15.829451404178872,34679.96450837899,1203.3333333333333
77th Street,2011,532941.0,12.154545454545454,42531.90909090909,1187.3333333333333
77th Street,2012,532445.0,12.490909090909092,42105.818181818184,1186.9166666666667
77th Street,2013,536127.0,13.745454545454544,41582.09090909091,1145.0833333333333
77th Street,2014,539384.0,13.48181818181818,40561.181818181816,1170.8333333333333
77th Street,2015,545508.0,12.445454545454545,41020.545454545456,1220.9166666666667
77th Street,2016,548470.0,11.027272727272727,42605.818181818184,1283.8333333333333
77th Street,2017,554635.0,9.436363636363636,44780.454545454544,1291.6666666666667
77th Street,2018,560128.0,7.872727272727272,48862.545454545456,1245.4166666666667
77th Street,2019,568758.0,6.763636363636365,53007.545454545456,1180.4166666666667
77th Street,2020,632515.0,16.20634310427837,46617.99583120817,1087.0833333333333
77th Street,2021,629705.0,13.94499290368139,52750.20744691167,1034.2
Central,2010,891511.0,12.377172613506309,40083.78678927139,595.4166666666666
Central,2011,766808.0,9.875000000000002,46964.3,597.1666666666666
Central,2012,769827.0,9.934999999999999,47367.6,671.0
Central,2013,776857.0,10.774999999999999,47496.4,632.5
Central,2014,782076.0,9.955,47760.2,699.1666666666666
Central,2015,789075.0,8.959999999999999,48827.15,864.0833333333334
Central,2016,791202.0,8.06,50261.4,911.75
Central,2017,796579.0,7.170000000000002,53893.55,993.0833333333334
Central,2018,798851.0,6.37,56497.9,1099.6666666666667
Central,2019,798595.0,6.1450000000000005,59869.25,1129.5
Central,2020,909254.0,12.671867199542177,53881.99878318257,949.75
Central,2021,905214.0,10.903699683326987,60969.72988196048,922.6
Devonshire,2010,396350.0,13.354949477689562,59039.99167656122,885.9166666666666
Devonshire,2011,337065.0,10.67,72475.0752557331,802.5
Devonshire,2012,342259.0,11.63,72320.1752557331,782.0
Devonshire,2013,344621.0,11.809999999999999,71556.8752557331,723.3333333333334
Devonshire,2014,349560.0,10.61,71735.0752557331,719.5833333333334
Devonshire,2015,352845.0,10.09,72256.2752557331,837.9166666666666
Devonshire,2016,351791.0,8.889999999999999,72952.1752557331,862.25
Devonshire,2017,355886.0,7.4799999999999995,76384.2752557331,888.5833333333334
Devonshire,2018,355261.0,6.4399999999999995,80288.1752557331,795.9166666666666
Devonshire,2019,353962.0,6.26,84682.5752557331,746.25
Devonshire,2020,404237.0,13.672924465253601,79363.57850618647,647.5
Devonshire,2021,402441.0,11.765074539869376,89803.20057277112,577.6
Foothill,2010,502295.0,10.475388572343654,60991.59936601294,778.5833333333334
Foothill,2011,434423.0,7.9818181818181815,73455.72727272728,710.1666666666666
Foothill,2012,433705.0,8.39090909090909,73446.0,660.0833333333334
Foothill,2013,438445.0,9.081818181818182,73656.72727272728,623.9166666666666
Foothill,2014,442359.0,8.50909090909091,73955.45454545454,594.9166666666666
Foothill,2015,442199.0,7.963636363636363,74827.54545454546,644.6666666666666
Foothill,2016,442968.0,7.218181818181819,76286.18181818182,662.75
Foothill,2017,449813.0,6.154545454545455,79936.63636363637,681.6666666666666
Foothill,2018,449622.0,5.327272727272727,83596.72727272728,672.75
Foothill,2019,449677.0,4.881818181818182,88128.36363636363,631.4166666666666
Foothill,2020,512290.0,10.724802585970885,81986.99639085682,579.1666666666666
Foothill,2021,510015.0,9.228318504207504,92771.7073729639,514.8
Harbor,2010,1121674.0,12.612785785978856,53441.8170033037,799.1666666666666
Harbor,2011,973062.0,10.100000000000001,65028.38461538462,819.3333333333334
Harbor,2012,978187.0,9.796153846153846,64939.88461538462,783.3333333333334
Harbor,2013,984031.0,10.484615384615385,64744.03846153846,701.5833333333334
Harbor,2014,991947.0,10.234615384615383,65376.153846153844,690.0833333333334
Harbor,2015,996942.0,9.442307692307693,65530.96153846154,794.0833333333334
Harbor,2016,995833.0,8.607692307692309,67058.96153846153,794.8333333333334
Harbor,2017,998737.0,7.761538461538462,69545.07692307692,806.3333333333334
Harbor,2018,989473.0,6.692307692307693,72674.46153846153,758.1666666666666
Harbor,2019,986049.0,5.630769230769231,75696.19230769231,722.8333333333334
Harbor,2020,1143992.0,12.913090209454541,71838.32041322507,727.8333333333334
Harbor,2021,1138911.0,11.11126366860042,81288.05704466767,711.2
Hollenbeck,2010,637958.0,12.714241616121628,47485.08937664952,616.75
Hollenbeck,2011,553598.0,9.878571428571428,57149.142857142855,544.5
Hollenbeck,2012,560475.0,10.178571428571427,57359.28571428572,586.4166666666666
Hollenbeck,2013,559800.0,11.15,57115.357142857145,558.8333333333334
Hollenbeck,2014,561542.0,10.699999999999998,57420.78571428572,573.8333333333334
Hollenbeck,2015,562534.0,9.821428571428571,57350.71428571428,668.0833333333334
Hollenbeck,2016,565533.0,8.721428571428572,59174.0,765.75
Hollenbeck,2017,566332.0,7.471428571428572,62298.857142857145,754.5
Hollenbeck,2018,563971.0,6.171428571428572,65656.0,733.75
Hollenbeck,2019,564821.0,5.721428571428571,69584.35714285714,694.5833333333334
Hollenbeck,2020,650656.0,13.016961654600717,63831.0831624512,640.75
Hollenbeck,2021,647763.0,11.200641423726195,72227.53398862937,643.8
Hollywood,2010,209036.0,13.145138663442653,51836.883928343064,766.75
Hollywood,2011,180848.0,10.116666666666667,60929.5,769.8333333333334
Hollywood,2012,182067.0,10.616666666666667,60687.5,774.5
Hollywood,2013,182793.0,11.033333333333333,59929.666666666664,711.75
Hollywood,2014,185107.0,10.916666666666666,62298.0,713.0833333333334
Hollywood,2015,185951.0,9.583333333333334,62867.166666666664,815.5833333333334
Hollywood,2016,186067.0,8.7,65685.33333333333,884.75
Hollywood,2017,186600.0,7.816666666666667,70206.33333333333,940.5833333333334
Hollywood,2018,184127.0,7.099999999999999,73883.16666666667,950.5
Hollywood,2019,184014.0,6.133333333333334,77154.83333333333,927.9166666666666
Hollywood,2020,213197.0,13.458118155429382,69680.91441646268,830.0833333333334
Hollywood,2021,212249.0,11.580241203509003,78846.86214026895,858.4
Mission,2010,452896.0,12.502441776634736,48649.34530829514,879.5
Mission,2011,386393.0,10.2125,58238.125,878.5
Mission,2012,389580.0,10.2875,59089.125,879.25
Mission,2013,393264.0,11.25,58440.25,856.9166666666666
Mission,2014,395271.0,10.375,59372.375,828.5
Mission,2015,400688.0,9.5125,59451.375,885.75
Mission,2016,404198.0,8.325,60695.0,921.1666666666666
Mission,2017,407578.0,7.112500000000001,64549.75,903.3333333333334
Mission,2018,408060.0,6.2124999999999995,66749.625,845.4166666666666
Mission,2019,406741.0,5.4125,69536.25,758.5833333333334
Mission,2020,461911.0,12.800118961792705,65396.1158531508,691.4166666666666
Mission,2021,459858.0,11.014055850844885,73998.43378008576,616.0
N Hollywood,2010,411441.0,14.148914614374828,49696.24648631098,946.0833333333334
N Hollywood,2011,352075.0,11.444444444444443,60906.0,890.9166666666666
N Hollywood,2012,358996.0,11.877777777777778,61130.333333333336,936.9166666666666
N Hollywood,2013,361783.0,11.988888888888889,60536.11111111111,912.0
N Hollywood,2014,363194.0,11.966666666666665,59461.77777777778,864.9166666666666
N Hollywood,2015,364819.0,10.399999999999999,59407.333333333336,983.4166666666666
N Hollywood,2016,366572.0,9.222222222222221,61971.444444444445,1005.25
N Hollywood,2017,363216.0,8.122222222222222,64919.444444444445,1033.6666666666667
N Hollywood,2018,364831.0,7.400000000000001,67618.44444444444,1002.5
N Hollywood,2019,367162.0,6.311111111111112,72149.33333333333,921.6666666666666
N Hollywood,2020,419630.0,14.485793533764706,66803.39626546604,831.1666666666666
N Hollywood,2021,417764.0,12.464520017425444,75590.83028624163,825.6
Newton,2010,237414.0,14.586403126669387,36737.0611730632,832.1666666666666
Newton,2011,204662.0,12.242857142857146,45079.0,778.75
Newton,2012,204096.0,12.185714285714285,45527.71428571428,738.6666666666666
Newton,2013,205388.0,12.271428571428572,46078.42857142857,718.0833333333334
Newton,2014,208778.0,10.87142857142857,45068.28571428572,767.0833333333334
Newton,2015,209700.0,10.228571428571428,44756.857142857145,804.0833333333334
Newton,2016,209811.0,9.657142857142857,44543.0,920.0833333333334
Newton,2017,213312.0,7.814285714285714,46989.142857142855,979.5833333333334
Newton,2018,213032.0,7.828571428571427,49520.28571428572,906.9166666666666
Newton,2019,214008.0,7.642857142857143,51950.71428571428,893.25
Newton,2020,242139.0,14.933698439209136,49383.215608623796,818.1666666666666
Newton,2021,241063.0,12.84992656397065,55879.1690055149,712.4
Northeast,2010,666119.0,12.091989398850783,50827.49953828802,885.6666666666666
Northeast,2011,580902.0,9.505263157894738,61019.73684210526,819.0
Northeast,2012,579567.0,9.957894736842107,61359.94736842105,818.0833333333334
Northeast,2013,578231.0,10.23157894736842,60739.52631578947,772.5833333333334
Northeast,2014,585009.0,9.452631578947368,60511.10526315789,806.75
Northeast,2015,589228.0,8.700000000000001,61375.73684210526,854.9166666666666
Northeast,2016,589939.0,8.031578947368422,64202.94736842105,866.0
Northeast,2017,594284.0,7.263157894736843,66661.47368421052,876.8333333333334
Northeast,2018,593771.0,6.4105263157894745,70459.78947368421,857.3333333333334
Northeast,2019,591212.0,5.810526315789474,75194.57894736843,801.8333333333334
Northeast,2020,679380.0,12.379893908347233,68324.06535520416,692.8333333333334
Northeast,2021,676361.0,10.652466851368544,77311.5308121122,722.2
Olympic,2010,446054.0,10.0841022064245,52364.96551280562,729.5833333333334
Olympic,2011,390264.0,8.48,60636.6,664.75
Olympic,2012,389002.0,8.709999999999999,60664.4,708.25
Olympic,2013,391124.0,9.39,63359.2,690.75
Olympic,2014,394023.0,8.600000000000001,63087.6,761.9166666666666
Olympic,2015,396232.0,7.730000000000001,64335.8,819.9166666666666
Olympic,2016,395601.0,6.539999999999999,67272.9,881.1666666666666
Olympic,2017,396481.0,5.529999999999999,70122.2,927.6666666666666
Olympic,2018,393554.0,4.57,73625.5,916.0
Olympic,2019,390602.0,4.319999999999999,76100.0,849.3333333333334
Olympic,2020,454932.0,10.324199878006036,70390.77976528867,787.8333333333334
Olympic,2021,452911.0,8.88361384851682,79650.10440202395,802.2
Pacific,2010,854379.0,11.199142995667907,58763.49722181102,923.8333333333334
Pacific,2011,740759.0,8.6,70175.61904761905,864.25
Pacific,2012,745909.0,9.100000000000001,69871.23809523809,856.0833333333334
Pacific,2013,749008.0,9.609523809523811,69889.66666666667,842.0833333333334
Pacific,2014,753416.0,9.176190476190476,69966.57142857143,894.1666666666666
Pacific,2015,756424.0,8.319047619047618,70995.09523809524,977.1666666666666
Pacific,2016,757815.0,7.676190476190477,73737.09523809524,981.5833333333334
Pacific,2017,758056.0,6.580952380952381,78689.23809523809,1006.0
Pacific,2018,758410.0,5.79047619047619,82143.66666666667,1014.4166666666666
Pacific,2019,755037.0,5.1761904761904765,87097.80952380953,1019.25
Pacific,2020,871383.0,11.465789257469526,78991.90519216732,948.8333333333334
Pacific,2021,867512.0,9.865911686659823,89382.63670966597,1003.8
Rampart,2010,176013.0,14.656615213823478,30915.72080740042,725.0
Rampart,2011,152423.0,12.366666666666667,36332.0,702.4166666666666
Rampart,2012,153923.0,12.533333333333333,36085.666666666664,714.75
Rampart,2013,154326.0,12.833333333333334,36447.0,678.0833333333334
Rampart,2014,153894.0,12.433333333333332,36209.333333333336,711.0
Rampart,2015,155501.0,11.200000000000001,36598.333333333336,773.5
Rampart,2016,156101.0,9.233333333333333,38677.333333333336,766.5
Rampart,2017,156841.0,7.8999999999999995,41019.333333333336,803.0833333333334
Rampart,2018,156979.0,7.233333333333333,44747.666666666664,804.3333333333334
Rampart,2019,155726.0,6.599999999999999,48322.333333333336,791.4166666666666
Rampart,2020,179516.0,15.00558224272404,41557.97055011331,737.9166666666666
Rampart,2021,178718.0,12.911780069320685,47024.577708756224,729.8
Southeast,2010,482266.0,15.296803883032794,39092.84209691419,922.5
Southeast,2011,410740.0,11.839999999999998,47633.5,920.5833333333334
Southeast,2012,412894.0,12.33,48218.0,879.3333333333334
Southeast,2013,417673.0,13.440000000000001,47331.8,848.0833333333334
Southeast,2014,423377.0,13.289999999999997,46466.5,878.4166666666666
Southeast,2015,426003.0,12.459999999999999,46403.3,925.0833333333334
Southeast,2016,429098.0,10.55,48639.2,959.0
Southeast,2017,433477.0,8.88,50526.7,987.6666666666666
Southeast,2018,434697.0,7.31,54593.4,996.25
Southeast,2019,436810.0,6.35,57303.8,974.75
Southeast,2020,491865.0,15.661013499295484,52549.936994996344,885.5833333333334
Southeast,2021,489678.0,13.47575580171937,59462.44638754892,816.4
Southwest,2010,358442.0,14.323273483067801,48723.08078003812,1137.75
Southwest,2011,314741.0,10.122222222222222,54397.0,1076.8333333333333
Southwest,2012,314366.0,9.588888888888889,55524.11111111111,1089.9166666666667
Southwest,2013,314929.0,10.733333333333333,56016.11111111111,1059.5833333333333
Southwest,2014,316934.0,9.511111111111111,56068.333333333336,1079.75
Southwest,2015,316426.0,9.744444444444447,63447.861395259,1158.1666666666667
Southwest,2016,315569.0,10.033333333333335,64320.861395259,1181.8333333333333
Southwest,2017,315501.0,9.511111111111113,66213.08361748123,1189.6666666666667
Southwest,2018,316588.0,8.811111111111112,69377.63917303678,1195.9166666666667
Southwest,2019,317049.0,8.76666666666667,72861.63917303678,1122.0
Southwest,2020,365577.0,14.664303804093228,65495.233599176645,915.0833333333334
Southwest,2021,363952.0,12.61812187794068,74110.58964546156,880.6
Topanga,2010,329778.0,10.852609929440165,67689.04080298536,826.1666666666666
Topanga,2011,279106.0,7.677777777777777,85018.55555555556,759.0
Topanga,2012,281650.0,7.877777777777776,84089.55555555556,741.9166666666666
Topanga,2013,283726.0,8.355555555555556,83536.11111111111,757.75
Topanga,2014,289152.0,9.033333333333335,81617.33333333333,730.8333333333334
Topanga,2015,293733.0,8.366666666666667,80448.77777777778,824.75
Topanga,2016,293313.0,7.355555555555554,83285.11111111111,917.3333333333334
Topanga,2017,296067.0,6.7666666666666675,86683.77777777778,900.25
Topanga,2018,297766.0,6.122222222222223,91918.88888888889,879.75
Topanga,2019,301011.0,5.5,96664.66666666667,802.4166666666666
Topanga,2020,336343.0,11.111005403950648,90989.92650957436,661.5
Topanga,2021,334846.0,9.560632556887766,102958.89845496393,627.8
Van Nuys,2010,200177.0,12.906718718239205,47308.63261950906,840.4166666666666
Van Nuys,2011,169334.0,9.28,55893.8,794.3333333333334
Van Nuys,2012,172301.0,10.040000000000001,54986.8,801.6666666666666
Van Nuys,2013,173585.0,10.74,54760.8,781.6666666666666
Van Nuys,2014,174538.0,10.58,56383.8,787.3333333333334
Van Nuys,2015,177894.0,9.719999999999999,59003.2,872.9166666666666
Van Nuys,2016,179384.0,9.059999999999999,60149.0,873.75
Van Nuys,2017,179293.0,7.9399999999999995,63101.0,899.75
Van Nuys,2018,181552.0,7.019999999999999,66367.4,870.4166666666666
Van Nuys,2019,179700.0,5.959999999999999,71051.4,795.5
Van Nuys,2020,204161.0,13.214021544863948,63593.88394712978,717.3333333333334
Van Nuys,2021,203254.0,11.370204585115491,71959.13317921331,675.4
West LA,2010,377033.0,13.063669694073385,84029.61924355137,682.8333333333334
West LA,2011,326526.0,8.580000000000002,100068.18350382206,716.75
West LA,2012,328738.0,11.046666666666669,99896.78350382207,712.1666666666666
West LA,2013,330409.0,11.459999999999999,100061.3168371554,680.5833333333334
West LA,2014,332653.0,10.233333333333333,100808.78350382207,681.25
West LA,2015,336478.0,9.253333333333336,102680.5168371554,809.1666666666666
West LA,2016,335201.0,8.246666666666666,107940.1168371554,782.75
West LA,2017,334875.0,8.006666666666668,112045.7168371554,752.3333333333334
West LA,2018,334000.0,7.213333333333333,117779.5168371554,839.8333333333334
West LA,2019,330812.0,6.906666666666666,119740.1168371554,767.5833333333334
West LA,2020,384537.0,13.374709448694182,112955.49159652213,763.6666666666666
West LA,2021,382827.0,11.508470920969412,127813.85187725278,761.4
West Valley,2010,233559.0,10.720224920479229,60594.32403263617,771.5
West Valley,2011,199007.0,8.1,74418.6,736.5
West Valley,2012,198236.0,9.5,71487.0,749.9166666666666
West Valley,2013,201271.0,9.620000000000001,72595.0,700.5
West Valley,2014,204080.0,8.58,72200.6,659.8333333333334
West Valley,2015,204868.0,7.639999999999999,73248.6,724.9166666666666
West Valley,2016,209112.0,7.279999999999999,74731.0,804.9166666666666
West Valley,2017,211915.0,5.699999999999999,81496.6,812.5
West Valley,2018,211577.0,5.38,82910.0,788.6666666666666
West Valley,2019,212327.0,5.34,90242.4,720.0833333333334
West Valley,2020,238206.0,10.975468370966832,81452.9652839125,658.0833333333334
West Valley,2021,237148.0,9.444007668041227,92167.4288926874,589.0
Wilshire,2010,214032.0,10.415022599969163,57384.65732584088,681.4166666666666
Wilshire,2011,182990.0,8.328571428571427,69582.57142857143,689.75
Wilshire,2012,183806.0,8.428571428571429,68856.28571428571,668.0833333333334
Wilshire,2013,186771.0,9.257142857142856,68117.28571428571,652.75
Wilshire,2014,190723.0,9.0,68579.14285714286,659.5
Wilshire,2015,190620.0,7.871428571428571,69587.85714285714,696.3333333333334
Wilshire,2016,192891.0,6.942857142857143,71844.71428571429,756.5
Wilshire,2017,192886.0,5.857142857142856,74650.28571428571,822.3333333333334
Wilshire,2018,190217.0,5.185714285714285,81163.28571428571,894.5
Wilshire,2019,186420.0,4.628571428571428,84176.14285714286,866.8333333333334
Wilshire,2020,218293.0,10.662999328539858,77138.42138866718,758.8333333333334
Wilshire,2021,217322.0,9.17513895711569,87285.3424482797,728.0
